<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
MOEXEU;60;27/11/19;000000;1924.49;1924.49;1924.49;1924.49;0;0
MOEXEU;60;27/11/19;100000;1924.44;1932.88;1923.87;1931.97;0;0
MOEXEU;60;27/11/19;110000;1932.03;1934.63;1927.73;1929.99;0;0
MOEXEU;60;27/11/19;120000;1929.97;1930.9;1925.28;1928.37;0;0
MOEXEU;60;27/11/19;130000;1928.16;1929.05;1927.25;1928.42;0;0
MOEXEU;60;27/11/19;140000;1928.17;1928.6;1922.93;1923.16;0;0
MOEXEU;60;27/11/19;150000;1923.35;1924.09;1921.59;1922.51;0;0
MOEXEU;60;27/11/19;160000;1922.33;1923.77;1920.59;1922.04;0;0
MOEXEU;60;27/11/19;170000;1922.06;1922.95;1917.52;1918.88;0;0
MOEXEU;60;27/11/19;180000;1918.88;1920.52;1917.75;1919.85;0;0
MOEXEU;60;28/11/19;000000;1919.85;1919.85;1919.85;1919.85;0;0
MOEXEU;60;28/11/19;100000;1920.55;1924.66;1913.63;1914.46;0;0
MOEXEU;60;28/11/19;110000;1914.41;1915.88;1910.7;1911.33;0;0
MOEXEU;60;28/11/19;120000;1911.36;1911.36;1907.61;1909.85;0;0
MOEXEU;60;28/11/19;130000;1909.92;1912.23;1909.34;1909.73;0;0
MOEXEU;60;28/11/19;140000;1909.67;1910.62;1909.08;1910.14;0;0
MOEXEU;60;28/11/19;150000;1910.14;1910.56;1907.81;1910.56;0;0
MOEXEU;60;28/11/19;160000;1910.56;1913.8;1910.15;1912.44;0;0
MOEXEU;60;28/11/19;170000;1912.38;1914.59;1911.91;1914.17;0;0
MOEXEU;60;28/11/19;180000;1914.17;1914.84;1911.19;1912.97;0;0
MOEXEU;60;29/11/19;000000;1912.97;1912.97;1912.97;1912.97;0;0
MOEXEU;60;29/11/19;100000;1912.43;1914.35;1910.85;1912.18;0;0
MOEXEU;60;29/11/19;110000;1911.85;1911.86;1910.46;1911.45;0;0
MOEXEU;60;29/11/19;120000;1911.6;1913.05;1908.47;1909.44;0;0
MOEXEU;60;29/11/19;130000;1909.54;1911.37;1909.33;1910.15;0;0
MOEXEU;60;29/11/19;140000;1910.05;1912.3;1909.93;1911.94;0;0
MOEXEU;60;29/11/19;150000;1911.94;1913.66;1911.36;1912.33;0;0
MOEXEU;60;29/11/19;160000;1911.9;1912.9;1910.62;1912.48;0;0
MOEXEU;60;29/11/19;170000;1912.35;1915.12;1911.97;1914.7;0;0
MOEXEU;60;29/11/19;180000;1914.66;1917.72;1914.66;1917.72;0;0
MOEXEU;60;02/12/19;000000;1917.72;1917.72;1917.72;1917.72;0;0
MOEXEU;60;02/12/19;100000;1920.53;1927.34;1920.45;1926.69;0;0
MOEXEU;60;02/12/19;110000;1926.22;1929.27;1925.36;1926.23;0;0
MOEXEU;60;02/12/19;120000;1926.49;1928.83;1925.48;1927.98;0;0
MOEXEU;60;02/12/19;130000;1927.91;1929.04;1927.18;1928.63;0;0
MOEXEU;60;02/12/19;140000;1928.73;1930.66;1927.71;1930.66;0;0
MOEXEU;60;02/12/19;150000;1930.48;1931.44;1928.06;1929.02;0;0
MOEXEU;60;02/12/19;160000;1929.38;1930.28;1927.91;1929.16;0;0
MOEXEU;60;02/12/19;170000;1929.14;1931.19;1923.47;1923.47;0;0
MOEXEU;60;02/12/19;180000;1922.71;1926.71;1922.32;1925.3;0;0
MOEXEU;60;03/12/19;000000;1925.3;1925.3;1925.3;1925.3;0;0
MOEXEU;60;03/12/19;100000;1924.36;1924.36;1913.07;1913.45;0;0
MOEXEU;60;03/12/19;110000;1914.18;1917.18;1913.21;1917.06;0;0
MOEXEU;60;03/12/19;120000;1916.68;1918.4;1915.39;1915.76;0;0
MOEXEU;60;03/12/19;130000;1915.69;1917.82;1909.18;1909.51;0;0
MOEXEU;60;03/12/19;140000;1909.74;1910.6;1907.74;1907.89;0;0
MOEXEU;60;03/12/19;150000;1907.44;1908;1904.95;1906.18;0;0
MOEXEU;60;03/12/19;160000;1906.17;1906.17;1898.08;1898.34;0;0
MOEXEU;60;03/12/19;170000;1897.99;1898.05;1888.67;1889.65;0;0
MOEXEU;60;03/12/19;180000;1889.59;1890.5;1886.07;1890.47;0;0
MOEXEU;60;04/12/19;000000;1890.47;1890.47;1890.47;1890.47;0;0
MOEXEU;60;04/12/19;100000;1894.75;1895.08;1885.35;1891.97;0;0
MOEXEU;60;04/12/19;110000;1891.77;1896.76;1888.77;1895.64;0;0
MOEXEU;60;04/12/19;120000;1895.62;1899.15;1895.28;1899.15;0;0
MOEXEU;60;04/12/19;130000;1899.03;1899.03;1891.07;1891.07;0;0
MOEXEU;60;04/12/19;140000;1891.21;1894.35;1890.92;1892.73;0;0
MOEXEU;60;04/12/19;150000;1892.66;1893.22;1890.92;1892.27;0;0
MOEXEU;60;04/12/19;160000;1891.99;1892.19;1889.18;1890.9;0;0
MOEXEU;60;04/12/19;170000;1891.02;1894.03;1890.54;1893.51;0;0
MOEXEU;60;04/12/19;180000;1893.91;1895.68;1891.81;1891.81;0;0
MOEXEU;60;05/12/19;000000;1891.81;1891.81;1891.81;1891.81;0;0
MOEXEU;60;05/12/19;100000;1895.59;1896.8;1891.24;1892.78;0;0
MOEXEU;60;05/12/19;110000;1892.58;1894.24;1891.2;1893.8;0;0
MOEXEU;60;05/12/19;120000;1893.72;1893.78;1891.55;1892.96;0;0
MOEXEU;60;05/12/19;130000;1892.98;1894.53;1892.03;1893.21;0;0
MOEXEU;60;05/12/19;140000;1893.11;1896.36;1893.11;1893.61;0;0
MOEXEU;60;05/12/19;150000;1893.65;1895.37;1893.05;1893.22;0;0
MOEXEU;60;05/12/19;160000;1893.22;1893.43;1891.28;1892.06;0;0
MOEXEU;60;05/12/19;170000;1892.11;1896.8;1892.11;1895.52;0;0
MOEXEU;60;05/12/19;180000;1895.55;1895.8;1892.98;1894.21;0;0
MOEXEU;60;06/12/19;000000;1894.21;1894.21;1894.21;1894.21;0;0
MOEXEU;60;06/12/19;100000;1897.25;1902.39;1894.81;1901.45;0;0
MOEXEU;60;06/12/19;110000;1901.5;1902.41;1900.81;1901.49;0;0
MOEXEU;60;06/12/19;120000;1901.53;1902.58;1900.01;1900.36;0;0
MOEXEU;60;06/12/19;130000;1900.16;1900.16;1898.05;1899.06;0;0
MOEXEU;60;06/12/19;140000;1899.08;1900.48;1897.64;1899.53;0;0
MOEXEU;60;06/12/19;150000;1899.67;1901.82;1899.22;1901.51;0;0
MOEXEU;60;06/12/19;160000;1901.63;1905.64;1899.82;1905.25;0;0
MOEXEU;60;06/12/19;170000;1905.25;1907.93;1905.03;1906.24;0;0
MOEXEU;60;06/12/19;180000;1906.22;1908.49;1905.11;1908.49;0;0
MOEXEU;60;09/12/19;000000;1908.49;1908.49;1908.49;1908.49;0;0
MOEXEU;60;09/12/19;100000;1912.62;1920.92;1912.24;1919.95;0;0
MOEXEU;60;09/12/19;110000;1920.33;1920.33;1914.85;1915.72;0;0
MOEXEU;60;09/12/19;120000;1915.53;1918.3;1915.32;1917.43;0;0
MOEXEU;60;09/12/19;130000;1917.46;1918.59;1917.17;1917.48;0;0
MOEXEU;60;09/12/19;140000;1917.48;1917.75;1911.78;1912.6;0;0
MOEXEU;60;09/12/19;150000;1912.76;1912.99;1910.68;1911.52;0;0
MOEXEU;60;09/12/19;160000;1911.3;1915.34;1911.16;1915.31;0;0
MOEXEU;60;09/12/19;170000;1915.23;1919.2;1914.64;1918.7;0;0
MOEXEU;60;09/12/19;180000;1918.62;1921.76;1918.34;1919.33;0;0
MOEXEU;60;10/12/19;000000;1919.33;1919.33;1919.33;1919.33;0;0
MOEXEU;60;10/12/19;100000;1919.94;1921.07;1913.98;1919.29;0;0
MOEXEU;60;10/12/19;110000;1919.61;1928.62;1917.5;1923.21;0;0
MOEXEU;60;10/12/19;120000;1923.56;1924.75;1922.45;1922.86;0;0
MOEXEU;60;10/12/19;130000;1922.91;1924.51;1922.12;1924.38;0;0
MOEXEU;60;10/12/19;140000;1924.26;1924.56;1921.41;1923.67;0;0
MOEXEU;60;10/12/19;150000;1923.54;1923.88;1921.33;1922.33;0;0
MOEXEU;60;10/12/19;160000;1922.14;1926.06;1921.66;1925.77;0;0
MOEXEU;60;10/12/19;170000;1926.21;1928.31;1924.76;1927.37;0;0
MOEXEU;60;10/12/19;180000;1927.37;1930.48;1924.93;1929.49;0;0
MOEXEU;60;11/12/19;000000;1929.49;1929.49;1929.49;1929.49;0;0
MOEXEU;60;11/12/19;100000;1933.04;1941.14;1933.04;1940.3;0;0
MOEXEU;60;11/12/19;110000;1939.94;1945.28;1939.94;1943.2;0;0
MOEXEU;60;11/12/19;120000;1943.04;1947.22;1942.75;1943.42;0;0
MOEXEU;60;11/12/19;130000;1943.5;1944.66;1938.19;1938.85;0;0
MOEXEU;60;11/12/19;140000;1939.15;1941.03;1938.18;1939.5;0;0
MOEXEU;60;11/12/19;150000;1939.47;1939.78;1936.06;1937.47;0;0
MOEXEU;60;11/12/19;160000;1937.47;1938.68;1934.93;1937.96;0;0
MOEXEU;60;11/12/19;170000;1938.19;1941.11;1937.85;1940.67;0;0
MOEXEU;60;11/12/19;180000;1940.72;1944.67;1940.72;1941.54;0;0
MOEXEU;60;12/12/19;000000;1941.54;1941.54;1941.54;1941.54;0;0
MOEXEU;60;12/12/19;100000;1940.45;1944.72;1935.82;1940.71;0;0
MOEXEU;60;12/12/19;110000;1940.61;1940.9;1936.94;1938.77;0;0
MOEXEU;60;12/12/19;120000;1938.69;1940.94;1937.66;1939.91;0;0
MOEXEU;60;12/12/19;130000;1939.77;1941.33;1938.39;1938.93;0;0
MOEXEU;60;12/12/19;140000;1938.76;1941.22;1937.39;1940.99;0;0
MOEXEU;60;12/12/19;150000;1941.16;1941.49;1938.25;1940.01;0;0
MOEXEU;60;12/12/19;160000;1940.08;1940.08;1934.81;1935.77;0;0
MOEXEU;60;12/12/19;170000;1935.8;1936.14;1933.4;1934.99;0;0
MOEXEU;60;12/12/19;180000;1935.17;1938.73;1934.38;1934.91;0;0
MOEXEU;60;13/12/19;000000;1934.91;1934.91;1934.91;1934.91;0;0
MOEXEU;60;13/12/19;100000;1942.92;1942.92;1936.06;1937.44;0;0
MOEXEU;60;13/12/19;110000;1937.18;1942.86;1937.18;1941.58;0;0
MOEXEU;60;13/12/19;120000;1941.55;1943.62;1940.42;1942.68;0;0
MOEXEU;60;13/12/19;130000;1942.69;1944.16;1941.03;1941.28;0;0
MOEXEU;60;13/12/19;140000;1941.34;1944.03;1941.1;1942.77;0;0
MOEXEU;60;13/12/19;150000;1942.84;1944.89;1942.51;1944.59;0;0
MOEXEU;60;13/12/19;160000;1944.71;1947.44;1943.73;1947.25;0;0
MOEXEU;60;13/12/19;170000;1947.17;1948.73;1944.75;1945.67;0;0
MOEXEU;60;13/12/19;180000;1945.53;1951.95;1945.13;1951.63;0;0
MOEXEU;60;16/12/19;000000;1951.63;1951.63;1951.63;1951.63;0;0
MOEXEU;60;16/12/19;100000;1956.53;1956.53;1950.21;1950.8;0;0
MOEXEU;60;16/12/19;110000;1950.81;1951.71;1946.56;1947.08;0;0
MOEXEU;60;16/12/19;120000;1947.05;1947.7;1939.39;1942.45;0;0
MOEXEU;60;16/12/19;130000;1942.45;1949.7;1941.82;1949.11;0;0
MOEXEU;60;16/12/19;140000;1948.81;1948.98;1945.64;1947.04;0;0
MOEXEU;60;16/12/19;150000;1947.17;1949.6;1947.1;1948.33;0;0
MOEXEU;60;16/12/19;160000;1948.47;1950.85;1948.19;1949.42;0;0
MOEXEU;60;16/12/19;170000;1949.58;1954.66;1949.58;1954.62;0;0
MOEXEU;60;16/12/19;180000;1954.39;1954.9;1951.83;1951.83;0;0
MOEXEU;60;17/12/19;000000;1951.83;1951.83;1951.83;1951.83;0;0
MOEXEU;60;17/12/19;100000;1957.6;1959.98;1951.6;1954.66;0;0
MOEXEU;60;17/12/19;110000;1954.96;1955.11;1951.65;1951.86;0;0
MOEXEU;60;17/12/19;120000;1952;1954.81;1951.8;1954.02;0;0
MOEXEU;60;17/12/19;130000;1954.03;1955.69;1952.11;1955.69;0;0
MOEXEU;60;17/12/19;140000;1955.25;1957.26;1954.88;1957.06;0;0
MOEXEU;60;17/12/19;150000;1956.97;1969.38;1956.97;1969.06;0;0
MOEXEU;60;17/12/19;160000;1969.16;1981.21;1969.16;1979.51;0;0
MOEXEU;60;17/12/19;170000;1979.58;1984.52;1976.57;1979.25;0;0
MOEXEU;60;17/12/19;180000;1979.49;1980.86;1975.25;1980.79;0;0
MOEXEU;60;18/12/19;000000;1980.79;1980.79;1980.79;1980.79;0;0
MOEXEU;60;18/12/19;100000;1982.98;1989.28;1982.11;1988.02;0;0
MOEXEU;60;18/12/19;110000;1987.57;1997.05;1987.57;1997.05;0;0
MOEXEU;60;18/12/19;120000;1998.07;2004.62;1997.25;2003.52;0;0
MOEXEU;60;18/12/19;130000;2003.51;2005.38;2001;2002.47;0;0
MOEXEU;60;18/12/19;140000;2002.61;2006.86;2002.01;2006.22;0;0
MOEXEU;60;18/12/19;150000;2006.07;2006.75;2004.05;2004.45;0;0
MOEXEU;60;18/12/19;160000;2004.3;2011.86;2004.24;2011.27;0;0
MOEXEU;60;18/12/19;170000;2011.46;2015.28;2006.54;2008;0;0
MOEXEU;60;18/12/19;180000;2007.76;2007.76;2003.63;2006.68;0;0
MOEXEU;60;19/12/19;000000;2006.68;2006.68;2006.68;2006.68;0;0
MOEXEU;60;19/12/19;100000;2009.42;2018.1;2008.49;2012.3;0;0
MOEXEU;60;19/12/19;110000;2012.2;2015.68;2008.68;2012.5;0;0
MOEXEU;60;19/12/19;120000;2012.34;2012.71;2004.27;2004.83;0;0
MOEXEU;60;19/12/19;130000;2004.07;2006.5;1999.55;2000.83;0;0
MOEXEU;60;19/12/19;140000;2000.88;2000.97;1995.68;1997.16;0;0
MOEXEU;60;19/12/19;150000;1997.22;2001.77;1995.8;1997.18;0;0
MOEXEU;60;19/12/19;160000;1997.26;1997.26;1986.98;1991.16;0;0
MOEXEU;60;19/12/19;170000;1991.04;1992.61;1987.57;1989.47;0;0
MOEXEU;60;19/12/19;180000;1989.73;1992.73;1988.04;1992.73;0;0
MOEXEU;60;20/12/19;000000;1992.73;1992.73;1992.73;1992.73;0;0
MOEXEU;60;20/12/19;100000;1993.14;1995.69;1990.67;1994.11;0;0
MOEXEU;60;20/12/19;110000;1994.37;1996.74;1988.02;1988.07;0;0
MOEXEU;60;20/12/19;120000;1987.88;1990.89;1984.99;1985.6;0;0
MOEXEU;60;20/12/19;130000;1985.95;1989.16;1985.2;1985.97;0;0
MOEXEU;60;20/12/19;140000;1986.46;1987.19;1980.99;1983.51;0;0
MOEXEU;60;20/12/19;150000;1983.26;1986.51;1982.85;1986.22;0;0
MOEXEU;60;20/12/19;160000;1986.22;1990.36;1985.88;1988.79;0;0
MOEXEU;60;20/12/19;170000;1988.92;1994.19;1988.34;1992.51;0;0
MOEXEU;60;20/12/19;180000;1992.24;1992.98;1985.73;1989.4;0;0
MOEXEU;60;23/12/19;000000;1989.4;1989.4;1989.4;1989.4;0;0
MOEXEU;60;23/12/19;100000;1990.19;1995.31;1988.14;1994.13;0;0
MOEXEU;60;23/12/19;110000;1993.54;1996.17;1990.87;1996.17;0;0
MOEXEU;60;23/12/19;120000;1995.96;1997.46;1993.36;1996.6;0;0
MOEXEU;60;23/12/19;130000;1996.53;2000.98;1995.76;2000.23;0;0
MOEXEU;60;23/12/19;140000;2000.18;2000.75;1992.94;1993.04;0;0
MOEXEU;60;23/12/19;150000;1993.49;2001.37;1992.77;1997.51;0;0
MOEXEU;60;23/12/19;160000;1997.5;2000.01;1996.91;1999.04;0;0
MOEXEU;60;23/12/19;170000;1998.86;1999.9;1997.11;1997.83;0;0
MOEXEU;60;23/12/19;180000;1997.87;1998.19;1995.66;1995.8;0;0
MOEXEU;60;24/12/19;000000;1995.8;1995.8;1995.8;1995.8;0;0
MOEXEU;60;24/12/19;100000;2000.96;2003.82;1998.61;2000.66;0;0
MOEXEU;60;24/12/19;110000;2000.64;2001;1995.72;1999.34;0;0
MOEXEU;60;24/12/19;120000;2000.19;2001.98;1998.56;1999.42;0;0
MOEXEU;60;24/12/19;130000;1999.43;2000.73;1997.98;1998.8;0;0
MOEXEU;60;24/12/19;140000;1998.7;2001;1997.64;2000.49;0;0
MOEXEU;60;24/12/19;150000;2000.55;2002.72;1999.36;2001.69;0;0
MOEXEU;60;24/12/19;160000;2001.69;2002.8;2000.25;2001.81;0;0
MOEXEU;60;24/12/19;170000;2002.22;2003.84;2001.09;2003.44;0;0
MOEXEU;60;24/12/19;180000;2003.56;2008.57;2003.49;2006.32;0;0
MOEXEU;60;25/12/19;000000;2006.32;2006.32;2006.32;2006.32;0;0
MOEXEU;60;25/12/19;100000;2010.74;2016.36;2010.38;2012.57;0;0
MOEXEU;60;25/12/19;110000;2012.83;2015.69;2012.32;2014.64;0;0
MOEXEU;60;25/12/19;120000;2014.35;2014.97;2011.53;2013.11;0;0
MOEXEU;60;25/12/19;130000;2013.16;2014.21;2012.29;2013.21;0;0
MOEXEU;60;25/12/19;140000;2013.12;2014.91;2012.56;2014.21;0;0
MOEXEU;60;25/12/19;150000;2014.03;2014.57;2009.46;2009.46;0;0
MOEXEU;60;25/12/19;160000;2009.31;2011.03;2006.87;2006.87;0;0
MOEXEU;60;25/12/19;170000;2006.85;2009.64;2006.52;2008.24;0;0
MOEXEU;60;25/12/19;180000;2008.04;2008.45;2006.71;2007.99;0;0
MOEXEU;60;26/12/19;000000;2007.99;2007.99;2007.99;2007.99;0;0
MOEXEU;60;26/12/19;100000;2008.01;2008.01;2001.34;2006.75;0;0
MOEXEU;60;26/12/19;110000;2007.1;2009.31;2006.04;2008.12;0;0
MOEXEU;60;26/12/19;120000;2007.99;2007.99;2006.09;2007.49;0;0
MOEXEU;60;26/12/19;130000;2007.6;2007.69;2005.75;2006.53;0;0
MOEXEU;60;26/12/19;140000;2006.53;2008.2;2005.5;2007.43;0;0
MOEXEU;60;26/12/19;150000;2007.4;2007.92;2003.54;2004.84;0;0
MOEXEU;60;26/12/19;160000;2004.94;2005.01;2002.23;2003.76;0;0
MOEXEU;60;26/12/19;170000;2003.88;2009.07;2003.88;2006.71;0;0
MOEXEU;60;26/12/19;180000;2006.69;2007.04;2004.46;2005.44;0;0
MOEXEU;60;27/12/19;000000;2005.44;2005.44;2005.44;2005.44;0;0
MOEXEU;60;27/12/19;100000;2009.17;2012.66;2009.17;2009.77;0;0
MOEXEU;60;27/12/19;110000;2009.91;2012.87;2008.42;2012.7;0;0
MOEXEU;60;27/12/19;120000;2012.6;2013.18;2011.4;2012.24;0;0
MOEXEU;60;27/12/19;130000;2012.27;2014.76;2011.65;2014.58;0;0
MOEXEU;60;27/12/19;140000;2014.7;2020.45;2014.7;2017.31;0;0
MOEXEU;60;27/12/19;150000;2017.45;2018.21;2013.14;2014.33;0;0
MOEXEU;60;27/12/19;160000;2013.61;2017;2012.36;2016.21;0;0
MOEXEU;60;27/12/19;170000;2016.42;2018.92;2014.95;2015.14;0;0
MOEXEU;60;27/12/19;180000;2015.11;2018.67;2014.88;2018.45;0;0
MOEXEU;60;30/12/19;000000;2018.45;2018.45;2018.45;2018.45;0;0
MOEXEU;60;30/12/19;100000;2021.06;2022.22;2014.17;2018.96;0;0
MOEXEU;60;30/12/19;110000;2018.68;2020.68;2012.37;2012.93;0;0
MOEXEU;60;30/12/19;120000;2013.15;2018.09;2012.54;2016.58;0;0
MOEXEU;60;30/12/19;130000;2016.69;2017.29;2012.95;2013.08;0;0
MOEXEU;60;30/12/19;140000;2013.44;2016.95;2013.44;2016.15;0;0
MOEXEU;60;30/12/19;150000;2016.17;2016.63;2014.18;2015.28;0;0
MOEXEU;60;30/12/19;160000;2015.14;2015.88;2013.75;2015.78;0;0
MOEXEU;60;30/12/19;170000;2015.58;2016.37;2011.38;2011.8;0;0
MOEXEU;60;30/12/19;180000;2012.1;2012.34;2006.98;2010.99;0;0
MOEXEU;60;03/01/20;000000;2010.99;2010.99;2010.99;2010.99;0;0
MOEXEU;60;03/01/20;100000;2016.47;2032.97;2014.6;2025.19;0;0
MOEXEU;60;03/01/20;110000;2026.31;2029.87;2024.92;2029.61;0;0
