"Страна";"Дата";"Индекс"
Азербайджан;23.02.2020;2.8
Азербайджан;24.02.2020;1.7
Азербайджан;25.02.2020;1.8
Азербайджан;26.02.2020;1.8
Азербайджан;27.02.2020;1.7
Азербайджан;28.02.2020;1.8
Азербайджан;29.02.2020;2.4
Азербайджан;01.03.2020;3
Азербайджан;02.03.2020;2
Азербайджан;03.03.2020;2.1
Азербайджан;04.03.2020;2
Азербайджан;05.03.2020;2.1
Азербайджан;06.03.2020;1.9
Азербайджан;07.03.2020;2.3
Азербайджан;08.03.2020;2.8
Азербайджан;09.03.2020;2.6
Азербайджан;10.03.2020;2
Азербайджан;11.03.2020;2
Азербайджан;12.03.2020;2
Азербайджан;13.03.2020;2
Азербайджан;14.03.2020;2.5
Азербайджан;15.03.2020;3
Азербайджан;16.03.2020;2.2
Азербайджан;17.03.2020;2.4
Азербайджан;18.03.2020;2.4
Азербайджан;19.03.2020;2.5
Азербайджан;20.03.2020;3.2
Азербайджан;21.03.2020;3.3
Азербайджан;22.03.2020;3.5
Азербайджан;23.03.2020;3.2
Азербайджан;24.03.2020;3.3
Азербайджан;25.03.2020;3.3
Азербайджан;26.03.2020;3.3
Азербайджан;27.03.2020;3.3
Азербайджан;28.03.2020;3.5
Азербайджан;29.03.2020;3.9
Азербайджан;30.03.2020;3.6
Азербайджан;31.03.2020;3.6
Азербайджан;01.04.2020;3.7
Азербайджан;02.04.2020;3.8
Азербайджан;03.04.2020;3.8
Азербайджан;04.04.2020;3.9
Азербайджан;05.04.2020;4.6
Азербайджан;06.04.2020;4.1
Азербайджан;07.04.2020;4.1
Азербайджан;08.04.2020;4
Азербайджан;09.04.2020;4
Азербайджан;10.04.2020;3.9
Азербайджан;11.04.2020;4
Азербайджан;12.04.2020;4.3
Азербайджан;13.04.2020;3.8
Азербайджан;14.04.2020;3.9
Азербайджан;15.04.2020;3.8
Азербайджан;16.04.2020;3.8
Азербайджан;17.04.2020;3.7
Азербайджан;18.04.2020;3.9
Азербайджан;19.04.2020;4.1
Азербайджан;20.04.2020;3.6
Азербайджан;21.04.2020;3.6
Азербайджан;22.04.2020;3.6
Азербайджан;23.04.2020;3.7
Азербайджан;24.04.2020;3.6
Азербайджан;25.04.2020;3.8
Азербайджан;26.04.2020;4.1
Азербайджан;27.04.2020;3.3
Азербайджан;28.04.2020;3.4
Азербайджан;29.04.2020;3.3
Азербайджан;30.04.2020;3.3
Азербайджан;01.05.2020;3.2
Азербайджан;02.05.2020;3.4
