Страна	Дата	Заражений	Выздоровлений	Смертей	Заражений за день	Выздоровлений за день	Смертей за день
Россия	22.01.2020	0	0	0	0	0	0
Россия	23.01.2020	0	0	0	0	0	0
Россия	24.01.2020	0	0	0	0	0	0
Россия	25.01.2020	0	0	0	0	0	0
Россия	26.01.2020	0	0	0	0	0	0
Россия	27.01.2020	0	0	0	0	0	0
Россия	28.01.2020	0	0	0	0	0	0
Россия	29.01.2020	0	0	0	0	0	0
Россия	30.01.2020	0	0	0	0	0	0
Россия	31.01.2020	2	0	0	2	0	0
Россия	01.02.2020	2	0	0	0	0	0
Россия	02.02.2020	2	0	0	0	0	0
Россия	03.02.2020	2	0	0	0	0	0
Россия	04.02.2020	2	0	0	0	0	0
Россия	05.02.2020	2	0	0	0	0	0
Россия	06.02.2020	2	0	0	0	0	0
Россия	07.02.2020	2	0	0	0	0	0
Россия	08.02.2020	2	0	0	0	0	0
Россия	09.02.2020	2	0	0	0	0	0
Россия	10.02.2020	2	0	0	0	0	0
Россия	11.02.2020	2	0	0	0	0	0
Россия	12.02.2020	2	2	0	0	2	0
Россия	13.02.2020	2	2	0	0	0	0
Россия	14.02.2020	2	2	0	0	0	0
Россия	15.02.2020	2	2	0	0	0	0
Россия	16.02.2020	2	2	0	0	0	0
Россия	17.02.2020	2	2	0	0	0	0
Россия	18.02.2020	2	2	0	0	0	0
Россия	19.02.2020	2	2	0	0	0	0
Россия	20.02.2020	2	2	0	0	0	0
Россия	21.02.2020	2	2	0	0	0	0
Россия	22.02.2020	2	2	0	0	0	0
Россия	23.02.2020	2	2	0	0	0	0
Россия	24.02.2020	2	2	0	0	0	0
Россия	25.02.2020	2	2	0	0	0	0
Россия	26.02.2020	2	2	0	0	0	0
Россия	27.02.2020	2	2	0	0	0	0
Россия	28.02.2020	2	2	0	0	0	0
Россия	29.02.2020	2	2	0	0	0	0
Россия	01.03.2020	2	2	0	0	0	0
Россия	02.03.2020	3	2	0	1	0	0
Россия	03.03.2020	3	2	0	0	0	0
Россия	04.03.2020	3	2	0	0	0	0
Россия	05.03.2020	4	2	0	1	0	0
Россия	06.03.2020	13	2	0	9	0	0
Россия	07.03.2020	13	2	0	0	0	0
Россия	08.03.2020	17	3	0	4	1	0
Россия	09.03.2020	17	3	0	0	0	0
Россия	10.03.2020	20	3	0	3	0	0
Россия	11.03.2020	20	3	0	0	0	0
Россия	12.03.2020	28	3	0	8	0	0
Россия	13.03.2020	45	3	0	17	0	0
Россия	14.03.2020	59	8	0	14	5	0
Россия	15.03.2020	63	8	0	4	0	0
Россия	16.03.2020	90	8	0	27	0	0
Россия	17.03.2020	114	8	0	24	0	0
Россия	18.03.2020	147	8	0	33	0	0
Россия	19.03.2020	199	9	1	52	1	1
Россия	20.03.2020	253	9	1	54	0	0
Россия	21.03.2020	306	12	1	53	3	0
Россия	22.03.2020	367	16	1	61	4	0
Россия	23.03.2020	438	16	1	71	0	0
Россия	24.03.2020	495	22	1	57	6	0
Россия	25.03.2020	658	29	3	163	7	2
Россия	26.03.2020	840	38	3	182	9	0
Россия	27.03.2020	1036	45	4	196	7	1
Россия	28.03.2020	1264	49	4	228	4	0
Россия	29.03.2020	1534	64	8	270	15	4
Россия	30.03.2020	1836	66	9	302	2	1
Россия	31.03.2020	2337	121	17	501	55	8
Россия	01.04.2020	2777	190	24	440	69	7
Россия	02.04.2020	3548	235	30	771	45	6
